# FILE,BB_X,BB_Y,BB_WIDTH,BB_HEIGHT,DETECTION_SCORE
007794e4648808dba73a67d1f04e1d9b.jpg,970.63,1667.28,193.22,244.14,1.00
007794e4648808dba73a67d1f04e1d9b.jpg,450.12,813.05,216.53,316.06,0.98
007794e4648808dba73a67d1f04e1d9b.jpg,966.51,426.08,116.93,147.29,0.46
007794e4648808dba73a67d1f04e1d9b.jpg,3452.92,1417.38,375.91,458.50,0.37
007794e4648808dba73a67d1f04e1d9b.jpg,3255.62,23.87,156.62,189.90,0.35
007794e4648808dba73a67d1f04e1d9b.jpg,913.80,1521.19,128.54,162.88,0.33
007794e4648808dba73a67d1f04e1d9b.jpg,954.96,2065.34,238.48,252.65,0.32
007794e4648808dba73a67d1f04e1d9b.jpg,1273.31,2899.40,139.54,179.08,0.26
007794e4648808dba73a67d1f04e1d9b.jpg,836.46,1773.37,158.71,204.98,0.22
00919c706049586edbfc9890db49af3e.jpg,859.45,1718.96,172.82,193.26,1.00
00919c706049586edbfc9890db49af3e.jpg,1064.09,1439.49,200.47,230.43,0.79
00919c706049586edbfc9890db49af3e.jpg,4560.11,426.25,190.81,213.32,0.61
00919c706049586edbfc9890db49af3e.jpg,3162.65,371.42,258.61,307.56,0.60
00919c706049586edbfc9890db49af3e.jpg,2272.27,1513.73,162.61,183.74,0.49
00919c706049586edbfc9890db49af3e.jpg,64.36,2447.89,229.56,290.11,0.40
00919c706049586edbfc9890db49af3e.jpg,3229.33,950.18,382.54,466.12,0.35
00919c706049586edbfc9890db49af3e.jpg,4087.26,2443.30,169.28,198.35,0.26
00919c706049586edbfc9890db49af3e.jpg,4136.01,2424.11,166.72,195.75,0.25
00919c706049586edbfc9890db49af3e.jpg,4677.53,973.56,369.81,423.61,0.22
00973c301f9dfdcc27383511e6e9a1e0.jpg,3091.18,1662.86,236.51,296.42,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,151.11,897.67,179.32,210.33,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,1047.41,288.53,182.19,211.48,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,2185.08,518.68,184.75,211.76,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,2606.52,1621.97,200.03,261.08,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,376.43,704.56,171.31,205.39,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,4455.73,2805.35,263.72,358.36,1.00
00973c301f9dfdcc27383511e6e9a1e0.jpg,2124.43,2988.64,287.75,324.94,0.99
00973c301f9dfdcc27383511e6e9a1e0.jpg,2284.36,2989.37,210.04,265.74,0.90
00973c301f9dfdcc27383511e6e9a1e0.jpg,3492.14,3108.05,261.03,317.32,0.88
00973c301f9dfdcc27383511e6e9a1e0.jpg,330.16,1866.11,261.35,333.69,0.63
00973c301f9dfdcc27383511e6e9a1e0.jpg,542.30,992.63,324.99,408.05,0.60
00973c301f9dfdcc27383511e6e9a1e0.jpg,1249.06,1581.14,298.10,339.18,0.54
00973c301f9dfdcc27383511e6e9a1e0.jpg,614.55,664.16,210.02,252.15,0.49
00973c301f9dfdcc27383511e6e9a1e0.jpg,4568.55,935.03,179.58,196.07,0.43
